"2022-01-13","ILS","USD","0.339"
"2022-01-17","USD","EUR","0.73"
"2022-01-05","ILS","USD","0.3175"
"2022-01-16","USD","ILS","2.90"
"2022-01-01","USD","ILS","3.25"
"2022-01-19","USD","ILS","2.84"
"2022-01-18","USD","ILS","2.86"
"2022-01-11","ILS","USD","0.3333"
"2022-01-24","ILS","USD","0.3784"
"2022-01-02","EUR","USD","1.15"
"2022-01-13","USD","EUR","0.77"
"2022-01-16","USD","EUR","0.74"
"2022-01-01","USD","ILS","3.25"
"2022-01-03","ILS","USD","0.3125"
"2022-01-22","EUR","USD","1.47"
"2022-01-15","USD","ILS","2.92"
"2022-01-11","USD","ILS","3.00"
"2022-01-06","EUR","USD","1.19"
"2022-01-23","USD","EUR","0.67"
"2022-01-20","USD","ILS","2.82"
"2022-01-07","EUR","USD","1.20"
"2022-01-16","ILS","USD","0.3483"
"2022-01-10","USD","EUR","0.80"
"2022-01-12","EUR","USD","1.28"
"2022-01-09","ILS","USD","0.327"
"2022-01-18","USD","EUR","0.72"
"2022-01-18","ILS","USD","0.355"
"2022-01-07","USD","ILS","3.10"
"2022-01-04","USD","EUR","0.86"
"2022-01-11","USD","EUR","0.79"
"2022-01-09","USD","EUR","0.81"
"2022-01-22","ILS","USD","0.3699"
"2022-01-15","USD","EUR","0.75"
"2022-01-17","EUR","USD","1.37"
"2022-01-05","USD","EUR","0.85"
"2022-01-19","EUR","USD","1.41"
"2022-01-15","ILS","USD","0.345"
"2022-01-12","EUR","USD","1.28"
"2022-01-08","USD","ILS","3.08"
"2022-01-09","EUR","USD","1.23"
"2022-01-09","USD","ILS","3.05"
"2022-01-20","USD","ILS","2.82"
"2022-01-12","USD","ILS","2.98"
"2022-01-02","USD","EUR","0.87"
"2022-01-04","USD","ILS","3.18"
"2022-01-18","USD","EUR","0.72"
"2022-01-07","USD","EUR","0.83"
"2022-01-16","USD","EUR","0.74"
"2022-01-18","EUR","USD","1.39"
"2022-01-04","USD","EUR","0.86"
"2022-01-20","USD","EUR","0.70"
"2022-01-07","USD","ILS","3.10"
"2022-01-14","USD","ILS","2.94"
"2022-01-04","EUR","USD","1.16"
"2022-01-08","USD","EUR","0.82"
"2022-01-24","ILS","USD","0.3784"
"2022-01-16","ILS","USD","0.3483"
"2022-01-19","USD","EUR","0.71"
"2022-01-21","ILS","USD","0.3659"
"2022-01-18","EUR","USD","1.39"
"2022-01-10","ILS","USD","0.33"
"2022-01-08","ILS","USD","0.3247"
"2022-01-22","EUR","USD","1.47"
"2022-01-22","USD","EUR","0.68"
"2022-01-18","ILS","USD","0.355"
"2022-01-14","ILS","USD","0.342"
"2022-01-20","ILS","USD","0.3621"
"2022-01-04","USD","ILS","3.18"
"2022-01-10","EUR","USD","1.25"
"2022-01-15","ILS","USD","0.345"
"2022-01-17","USD","ILS","2.88"
"2022-01-21","USD","EUR","0.69"
"2022-01-05","USD","ILS","3.15"
"2022-01-11","USD","EUR","0.79"
"2022-01-01","ILS","USD","0.3077"
"2022-01-22","ILS","USD","0.3699"
"2022-01-01","USD","EUR","0.89"
"2022-01-02","USD","ILS","3.22"
"2022-01-10","ILS","USD","0.33"
"2022-01-18","USD","ILS","2.86"
"2022-01-02","USD","ILS","3.22"
"2022-01-02","EUR","USD","1.15"
"2022-01-03","EUR","USD","1.14"
